id,title,kind,category,address,neighborhood,rating,reviewCount,priceLabel,lat,lng,googleMapsUrl,googlePlaceId,source,active,tags
el-cockfight-77a73354,El Cockfight,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
atx-dj-fe52e754,ATX DJ,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
hotspot-5b2b6bf2,Hotspot,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
brazos-lofts-5177fdfd,Brazos Lofts,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
prime-boat-rentals-fd5a85ce,Prime Boat Rentals,cafe,Cielito Lindo Cafe,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
frost-bank-tower-executive-health-club-002acadd,Frost Bank Tower Executive Health Club,bar,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
nightly-spirits-75fcb8c6,Nightly Spirits,civic,Austin Visitor Center,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
metropolis-a8ecf6b6,Metropolis,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
littlefield-garage-02197587,Littlefield Garage,mobility,Shop 24,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address', 'consider-hide-from-resident-default']"
littlefield-lofts-46398480,Littlefield Lofts,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-littlefield-quarters-89c26e6b,The Littlefield Quarters,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
in-plain-sight-158ce64f,In Plain Sight,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-driskill-grill-9e3a60b8,The Driskill Grill,hotel,The Driskill Bar,,Congress,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
here-nor-there-24228a2e,Here Nor There,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
sunset-strip-comedy-and-entertainment-d71d9d94,Sunset Strip Comedy & Entertainment,experience,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
happy-chicks-6eaad361,Happy Chicks,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
firehouse-lounge-9bfd7f59,Firehouse Lounge,bar,,1886 Cafe & Bakery,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,['needs-google-places-enrichment']
the-victorian-903305f6,The Victorian,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
tommie-austin-jdv-by-hyatt-0f83b79f,tommie Austin - JDV by Hyatt,hotel,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
caroline-d88575be,Caroline,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
garage-fb16ca65,Garage,mobility,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address', 'consider-hide-from-resident-default']"
black-fox-coffee-d7fa60a7,Black Fox Coffee,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
mohawk-austin-f060817a,Mohawk Austin,experience,,,Red River / Waterloo,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
kickin-momo-063bc3d8,Kickin Momo,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
bathe-b9b276e5,Bathe,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
milonga-room-6228d019,Milonga Room,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
lamberts-e70e64db,Lamberts,venue,,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
sweetgreen-healthy-salads-wraps-and-bowls-aed2b9ec,"sweetgreen - Healthy Salads, Wraps, and Bowls",restaurant,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
jo-s-coffee-downtown-5d0ea7e8,Jo's Coffee – Downtown,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
violet-crown-austin-df88a4fa,Violet Crown Austin,hotel,Omni Austin Hotel Downtown,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
voodoo-doughnut-92a076c9,Voodoo Doughnut,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
roaring-fork-af0bd163,Roaring Fork,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
boa-steakhouse-fe0c22f1,BOA Steakhouse,restaurant,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-kitchen-american-bistro-ea4e4716,The Kitchen American Bistro,restaurant,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
fixe-southern-house-7f7da259,Fixe Southern House,venue,,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
ranch-616-c9f0e1c3,Ranch 616,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
austin-wellness-collaborative-66ce44d3,Austin Wellness Collaborative,wellness,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
la-volta-pizza-club-ee7e2e51,La Volta Pizza Club,bar,,24 Diner,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,['needs-google-places-enrichment']
the-antique-swan-3c5f701a,The Antique Swan,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
frank-darling-1c62c86c,Frank Darling,retail,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
portland-leather-goods-austin-336da8c0,"Portland Leather Goods, Austin",retail,The Shade Store,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
townlake-ymca-24db2465,Townlake YMCA,wellness,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
atx-sign-38c85f74,ATX Sign,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
wellness-and-beauty-7cb49383,Wellness and Beauty,wellness,Ballet Austin's Pilates Center,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
ballet-austin-49de7473,Ballet Austin,wellness,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
local-walk-up-window-e691d916,Local Walk-Up Window,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
north-italia-21435943,North Italia,venue,,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
flower-child-61a77c2c,Flower Child,venue,,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
torchy-s-tacos-1248b350,Torchy's Tacos,wellness,World Space Austin,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
indochino-cc5a4ded,INDOCHINO,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
yummi-joy-88be381a,Yummi Joy,bar,Sushi Bar Austin Downtown,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
golden-ace-austin-21a6e956,Golden Ace Austin,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
strive-company-d64dfeba,Strive Company,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
atx-cocina-1ce57680,ATX Cocina,venue,,,2nd Street,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
candid-studios-photography-and-videography-austin-74b3d0de,Candid Studios Photography & Videography - Austin,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
blu-dot-1d371325,Blu Dot,retail,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
urban-outfitters-3e052923,Urban Outfitters,retail,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
serenade-8a61b8e6,Serenade,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
which-wich-55ba7d96,Which Wich,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
starbucks-coffee-company-643ab716,Starbucks Coffee Company,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
tesla-destination-charger-1f622dc5,Tesla Destination Charger,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['duplicate-title-review', 'needs-google-places-enrichment', 'needs-address']"
cathy-s-cleaners-downtown-3ca2a10f,Cathy's Cleaners Downtown,bar,BarChi Sushi,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
taverna-austin-downtown-the-baci-room-8e69441d,Taverna Austin (Downtown) | The Baci Room,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
iii-forks-b5605870,III Forks,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
bob-s-steak-and-chop-house-downtown-austin-a2e2c83a,Bob's Steak & Chop House - Downtown Austin,bar,Cooper's Old Time Pit Bar-B-Que,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
soma-re-form-pilates-and-wellness-collective-449a30fd,Soma Re·form Pilates & Wellness Collective,civic,Mexic-Arte Museum,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
